run_time,subject,experiment_id,predictor,estimator,raw,epoch,reference,inv,tstart,tstop,samplingrate,filter_x,status,error_type,error,traceback,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,h_shape,finite_r,finite_h,finite_result,result_summary,proportion_explained_mean,cache_path,audio_alignment_qc,include_trf_primary,trf_exclusion_reason,correct,total,score_prop,low_score_flag,high_noise_flag,four_question_subject,s39_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity
2026-08-25T16:38:48,sub-11,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0015952290101288672,0.0009024008999830598,0.04696035506245264,-0.05934008336047725,0.024194732305691795,32,0.5245901639344263,32,25,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",-4.978682815594521e-05,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-11/subject-11_raw-0.5-20_epoch-story-segments_reference-mastoids_key-8147b1d71199d56c.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-25T16:38:50,sub-12,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.02963451423914244,0.031135719389890248,0.07317578778180542,-0.01155704620527812,0.01744350347010882,57,0.9344262295081968,49,30,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0005878098604443225,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-12/subject-12_raw-0.5-20_epoch-story-segments_reference-mastoids_key-3e3f95737914ab3f.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-25T16:38:54,sub-13,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.07097734747519467,0.06639371428156163,0.1886352623727747,-0.02543150495031054,0.06374593826713591,49,0.8032786885245902,44,52,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.00601094050983188,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-13/subject-13_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0546f75a8cafe086.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True
2026-08-25T16:39:00,sub-14,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.088483938868474,0.09565120786438525,0.15824965073706887,-0.0004453029035202241,0.044551265356917745,60,0.9836065573770492,59,56,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.005147409095017876,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-14/subject-14_raw-0.5-20_epoch-story-segments_reference-mastoids_key-374c895c26aedfb4.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True
2026-08-25T16:39:06,sub-15,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.05536070829602566,0.06474879134693484,0.13248809166941583,-0.026859009289926128,0.04463790246972951,50,0.819672131147541,58,53,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0031031661421501394,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-15/subject-15_raw-0.5-20_epoch-story-segments_reference-mastoids_key-6a866f3de19daeda.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True
2026-08-25T16:39:10,sub-16,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.05508909444923852,0.057463302546949396,0.12770510339579516,-0.006643669837064036,0.042360224117266074,53,0.8688524590163934,34,13,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0025182536825183563,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-16/subject-16_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0b844ae42d2e181b.pickle,fail,False,audio_alignment_failed,6.0,8.0,0.75,False,False,False,False,True,use,False,False
2026-08-25T16:39:14,sub-17,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.053328737978475475,0.052286721797703294,0.11242178489272793,-0.029107334477814936,0.033411560031740624,56,0.9180327868852459,10,17,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0016553285753994427,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-17/subject-17_raw-0.5-20_epoch-story-segments_reference-mastoids_key-b77e789886e31c00.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-25T16:39:18,sub-18,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0525559809102881,0.05908930946151982,0.08772520148633181,-0.011089634138489263,0.026115974577703278,59,0.9672131147540983,5,52,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0015058220894803485,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-18/subject-18_raw-0.5-20_epoch-story-segments_reference-mastoids_key-959c73ca18eba53b.pickle,pass,True,,7.0,8.0,0.875,False,False,False,False,True,use,True,True
2026-08-25T16:39:22,sub-19,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.034694041195934194,0.03561141983907492,0.06886652086610073,-0.02300097254069451,0.021955811510948598,57,0.9344262295081968,33,32,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0010746095453979332,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-19/subject-19_raw-0.5-20_epoch-story-segments_reference-mastoids_key-3e41e5a165dc973b.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True
2026-08-25T16:39:26,sub-20,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.019282862382147607,0.017796662882939948,0.09291334775115358,-0.019828516615272445,0.020260108692988787,50,0.819672131147541,50,32,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0002913828907326382,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-20/subject-20_raw-0.5-20_epoch-story-segments_reference-mastoids_key-c4655897ab837b1d.pickle,pass,True,,5.0,8.0,0.625,False,False,False,False,True,use,True,True
