run_time,subject,experiment_id,predictor,estimator,raw,epoch,reference,inv,tstart,tstop,samplingrate,filter_x,status,error_type,error,traceback,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,h_shape,finite_r,finite_h,finite_result,result_summary,proportion_explained_mean,cache_path,audio_alignment_qc,include_trf_primary,trf_exclusion_reason,correct,total,score_prop,low_score_flag,high_noise_flag,four_question_subject,s39_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity,model_type,model_term,source_file,n_model_terms
2026-08-25T16:38:48,sub-11,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0015952290101288,0.000902400899983,0.0469603550624526,-0.0593400833604772,0.0241947323056917,32,0.5245901639344263,32,25,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",-4.978682815594521e-05,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-11/subject-11_raw-0.5-20_epoch-story-segments_reference-mastoids_key-8147b1d71199d56c.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:38:50,sub-12,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0296345142391424,0.0311357193898902,0.0731757877818054,-0.0115570462052781,0.0174435034701088,57,0.9344262295081968,49,30,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0005878098604443,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-12/subject-12_raw-0.5-20_epoch-story-segments_reference-mastoids_key-3e3f95737914ab3f.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:38:54,sub-13,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0709773474751946,0.0663937142815616,0.1886352623727747,-0.0254315049503105,0.0637459382671359,49,0.8032786885245902,44,52,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0060109405098318,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-13/subject-13_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0546f75a8cafe086.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:00,sub-14,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.088483938868474,0.0956512078643852,0.1582496507370688,-0.0004453029035202,0.0445512653569177,60,0.9836065573770492,59,56,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0051474090950178,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-14/subject-14_raw-0.5-20_epoch-story-segments_reference-mastoids_key-374c895c26aedfb4.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:06,sub-15,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0553607082960256,0.0647487913469348,0.1324880916694158,-0.0268590092899261,0.0446379024697295,50,0.819672131147541,58,53,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0031031661421501,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-15/subject-15_raw-0.5-20_epoch-story-segments_reference-mastoids_key-6a866f3de19daeda.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:10,sub-16,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0550890944492385,0.0574633025469493,0.1277051033957951,-0.006643669837064,0.042360224117266,53,0.8688524590163934,34,13,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0025182536825183,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-16/subject-16_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0b844ae42d2e181b.pickle,fail,False,audio_alignment_failed,6.0,8.0,0.75,False,False,False,False,True,use,False,False,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:14,sub-17,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0533287379784754,0.0522867217977032,0.1124217848927279,-0.0291073344778149,0.0334115600317406,56,0.918032786885246,10,17,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0016553285753994,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-17/subject-17_raw-0.5-20_epoch-story-segments_reference-mastoids_key-b77e789886e31c00.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:18,sub-18,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0525559809102881,0.0590893094615198,0.0877252014863318,-0.0110896341384892,0.0261159745777032,59,0.9672131147540984,5,52,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0015058220894803,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-18/subject-18_raw-0.5-20_epoch-story-segments_reference-mastoids_key-959c73ca18eba53b.pickle,pass,True,,7.0,8.0,0.875,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:22,sub-19,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0346940411959341,0.0356114198390749,0.0688665208661007,-0.0230009725406945,0.0219558115109485,57,0.9344262295081968,33,32,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0010746095453979,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-19/subject-19_raw-0.5-20_epoch-story-segments_reference-mastoids_key-3e41e5a165dc973b.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
2026-08-25T16:39:26,sub-20,gammatone-1,gammatone-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0192828623821476,0.0177966628829399,0.0929133477511535,-0.0198285166152724,0.0202601086929887,50,0.819672131147541,50,32,61,False,"(61, 56)",True,True,True,"<BoostingResult eeg ~ gammatone-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0002913828907326,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-20/subject-20_raw-0.5-20_epoch-story-segments_reference-mastoids_key-c4655897ab837b1d.pickle,pass,True,,5.0,8.0,0.625,False,False,False,False,True,use,True,True,single_predictor,gammatone-1,/Users/yanyuwoo/Desktop/mcmaster-project/alice-comprehension-neural-prediction/analysis/trf_pipeline/results/by_predictor/gammatone-1/subject_results.csv,
