analysis,inclusion_criterion,n_subjects,baseline_mean_r,combined_mean_r,mean_delta_r,median_delta_r,sd_delta_r,mean_relative_change_percent,ci_95_low,ci_95_high,n_improved,n_degraded,n_unchanged,paired_t,degrees_of_freedom,paired_t_p_two_sided,paired_t_p_greater,cohen_dz,shapiro_w,shapiro_p,wilcoxon_w,wilcoxon_p_two_sided,sign_test_p_greater,supports_positive_increment_alpha_0_05
primary_all_finite,Both models completed with finite paired results,49,0.03034151569410408,0.031753126761181936,0.0014116110670778549,0.0011721338996589998,0.002427058227614661,4.652407880045877,0.0007144785483321547,0.002108743585823555,34,15,0,4.071298066571897,48,0.00017384798662188307,8.692399331094154e-05,0.5816140095102711,0.9755414729355332,0.3957544367919376,263.0,0.00033974334974828935,0.004699620761936529,True
exclude_invalid_aud_sensitivity,Exclude subjects whose invalid AUD monitor prevents alignment verification,47,0.029518068824233766,0.030983345321172435,0.0014652764969386696,0.0011872765739496978,0.0024643571879411847,4.963998511094012,0.0007417141200531581,0.0021888388738241812,33,14,0,4.076287969232837,46,0.00017932892131066518,8.966446065533259e-05,0.5945877099751177,0.9782483293737206,0.5219167651213075,234.0,0.0003111783226472653,0.003971363254741787,True
exclude_bad_mastoid_sensitivity,All finite results excluding historical bad mastoid reference flags,45,0.03153346398245877,0.032781806140528016,0.0012483421580692551,0.0011638831008246031,0.002370380573630676,3.9587853677086495,0.0005362009955082105,0.0019604833206303,30,15,0,3.5328224788133458,44,0.0009795784118875714,0.0004897892059437857,0.5266420810043968,0.9757546178521022,0.45889123490126177,252.0,0.002231636986778085,0.017848901777597348,True
strict_qc_sensitivity,Exclude invalid AUD monitor and historical bad mastoid subjects,43,0.030688856859035624,0.03198826267723141,0.0012994058181957926,0.0011721338996589998,0.002413393942594789,4.234129098273051,0.0005566727923056508,0.0020421388440859346,29,14,0,3.530618694508714,42,0.0010209520261869713,0.0005104760130934857,0.538414303302146,0.9781830999691385,0.577237826939384,223.0,0.002037565105865724,0.015769748676575546,True
