analysis,inclusion_criterion,n_subjects,baseline_mean_r,combined_mean_r,mean_delta_r,median_delta_r,sd_delta_r,mean_relative_change_percent,ci_95_low,ci_95_high,n_improved,n_degraded,n_unchanged,paired_t,degrees_of_freedom,paired_t_p_two_sided,paired_t_p_greater,cohen_dz,shapiro_w,shapiro_p,wilcoxon_w,wilcoxon_p_two_sided,sign_test_p_greater,supports_positive_increment_alpha_0_05
primary_all_finite,Both models completed with finite paired results,49,0.029866657000289502,0.03156784456136267,0.001701187561073169,0.0008102855327360003,0.0026205569958822252,5.695942338162183,0.0009484757067508629,0.0024538994153954752,36,13,0,4.5441915387546015,48,3.733065085537134e-05,1.866532542768567e-05,0.6491702198220859,0.9340170259095262,0.008696560829056144,215.0,3.545278101668714e-05,0.0007013442518477575,True
exclude_invalid_aud_sensitivity,Exclude subjects whose invalid AUD monitor prevents alignment verification,47,0.029026035959929915,0.030776639840802544,0.0017506038808726338,0.0011285870459532,0.002665093302359051,6.03115038956515,0.000968103172812697,0.0025331045889325707,34,13,0,4.503232790672296,46,4.555469540994838e-05,2.277734770497419e-05,0.6568640127244544,0.9401926242134706,0.018122002343275125,200.0,5.742990390444902e-05,0.0015438382307593197,True
exclude_bad_mastoid_sensitivity,All finite results excluding historical bad mastoid reference flags,45,0.031120903028275436,0.032590253000886756,0.0014693499726113177,0.0007082776103660982,0.002477547973458588,4.721424604152117,0.0007250121587820768,0.0022136877864405583,32,13,0,3.9784090439747986,44,0.0002554794645777887,0.00012773973228889435,0.5930662043085067,0.9337612645297698,0.012765951391897712,209.0,0.000317785723268571,0.003304411421140684,True
strict_qc_sensitivity,Exclude invalid AUD monitor and historical bad mastoid subjects,43,0.030260421706393377,0.03177300172211286,0.0015125800157194834,0.0007082776103660982,0.002526905137645355,4.9985424208411064,0.0007349134002962263,0.0022902466311427406,30,13,0,3.925216787287376,42,0.0003158717679109388,0.0001579358839554694,0.5985899483068645,0.9396826167206535,0.02531720539339004,194.0,0.000507211686226583,0.00685909252933925,True
