run_time,subject,experiment_id,predictor,estimator,raw,epoch,reference,inv,tstart,tstop,samplingrate,filter_x,status,error_type,error,traceback,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,n_model_terms,h_shape,finite_r,finite_h,finite_result,result_summary,proportion_explained_mean,cache_path,audio_alignment_qc,include_trf_primary,trf_exclusion_reason,correct,total,score_prop,low_score_flag,high_noise_flag,four_question_subject,s39_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity
2026-08-26T22:42:29,sub-11,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.008203584545014965,0.010207005817873814,0.04529948527512732,-0.05665182111983896,0.022818371818289156,39,0.639344262295082,32,25,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.1026176651663696e-05,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-11/subject-11_raw-0.5-20_epoch-story-segments_reference-mastoids_key-2b65151d9832ee63.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-26T22:42:33,sub-12,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.032210407140518794,0.03555906347957362,0.07375812142750399,-0.0137606048624756,0.018468491240313835,56,0.9180327868852459,49,30,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0006969084650956885,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-12/subject-12_raw-0.5-20_epoch-story-segments_reference-mastoids_key-21d09a3f5d30692f.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-26T22:42:38,sub-13,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.07628438649361552,0.07322773435530454,0.19144654499697153,-0.0186178292862352,0.06322029935318169,49,0.8032786885245902,44,54,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.006710133469379948,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-13/subject-13_raw-0.5-20_epoch-story-segments_reference-mastoids_key-15a0e651e6146629.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True
2026-08-26T22:42:49,sub-14,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.0886772088970564,0.09568042190843204,0.15931462296915386,-0.0013267781345861227,0.04477094630056296,60,0.9836065573770492,59,56,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.005297869158318461,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-14/subject-14_raw-0.5-20_epoch-story-segments_reference-mastoids_key-49787d8231083dd7.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True
2026-08-26T22:43:01,sub-15,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.06160910133693778,0.06636006542027069,0.13521868987474656,-0.03136551040946205,0.044627892656920264,54,0.8852459016393442,58,53,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0035715280241872755,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-15/subject-15_raw-0.5-20_epoch-story-segments_reference-mastoids_key-dc72c13a01a85a01.pickle,pass,True,,4.0,4.0,1.0,False,False,True,False,True,use,True,True
2026-08-26T22:43:09,sub-16,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.05541202764180134,0.05617834781329168,0.12739954549675295,-0.007690433316060516,0.04183459859412516,55,0.9016393442622951,34,13,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0026001347405811854,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-16/subject-16_raw-0.5-20_epoch-story-segments_reference-mastoids_key-6bec71123e047ae2.pickle,fail,False,audio_alignment_failed,6.0,8.0,0.75,False,False,False,False,True,use,False,False
2026-08-26T22:43:16,sub-17,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.055527201122604106,0.053988480646771336,0.11367647050201322,-0.017854521990902972,0.0320875722074246,59,0.9672131147540983,60,41,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.001744252721744874,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-17/subject-17_raw-0.5-20_epoch-story-segments_reference-mastoids_key-4348f45caddf2b5c.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-26T22:43:23,sub-18,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.05230311324535962,0.05604825734598941,0.08836510258456107,-0.016160793771968895,0.02605159168553569,59,0.9672131147540983,5,26,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.001552863326260393,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-18/subject-18_raw-0.5-20_epoch-story-segments_reference-mastoids_key-57e8a82a048f3134.pickle,pass,True,,7.0,8.0,0.875,False,False,False,False,True,use,True,True
2026-08-26T22:43:30,sub-19,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.032007883544079074,0.031238092310035943,0.06871179224051449,-0.01983021185893962,0.022657436677244555,53,0.8688524590163934,33,32,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0010158560382294377,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-19/subject-19_raw-0.5-20_epoch-story-segments_reference-mastoids_key-87bb59a8c6d925e9.pickle,pass,True,,8.0,8.0,1.0,False,False,False,False,True,use,True,True
2026-08-26T22:43:35,sub-20,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.018024067715099193,0.01588308678947832,0.09915233193152427,-0.01665572228972579,0.021114089153937265,48,0.7868852459016393,50,32,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0003216905959602603,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-20/subject-20_raw-0.5-20_epoch-story-segments_reference-mastoids_key-595139dfaf73bcd5.pickle,pass,True,,5.0,8.0,0.625,False,False,False,False,True,use,True,True
