subject,model,raw,epoch,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,h_shape,det_mean,finite_result,audio_alignment_qc,cache_qc,include_trf_primary,trf_exclusion_reason,cache_path,result_summary,correct,total,score_prop,high_noise_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity,analysis_status
sub-34,gammatone-8,0.5-20,chapter-1,0.026420964988436615,0.03175688543806168,0.07335996391007713,-0.03168595609469595,0.026742202148709357,46,0.7666666666666667,33,60,60,False,"(60, 8, 56)",0.0010506738220609952,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-34/subject-34_raw-0.5-20_epoch-chapter-1_key-e5943bf5bb106ee3.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",5.0,8.0,0.625,False,True,use,True,True,include_primary_and_sensitivity
sub-35,gammatone-8,0.5-20,chapter-1,0.026475007347433247,0.03108979424080189,0.07650411749233826,-0.039246981692161696,0.030586531008076623,46,0.7666666666666667,33,59,60,False,"(60, 8, 56)",0.0010063181840431368,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-35/subject-35_raw-0.5-20_epoch-chapter-1_key-9e0c80c8dfd33d4c.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",5.0,8.0,0.625,False,True,use,True,True,include_primary_and_sensitivity
sub-36,gammatone-8,0.5-20,chapter-1,0.043092307391002956,0.047243421465557864,0.07193828259664756,-0.0026782310947813075,0.01876172289508885,58,0.9666666666666667,55,58,60,False,"(60, 8, 56)",0.0014425211917540057,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-36/subject-36_raw-0.5-20_epoch-chapter-1_key-4ed5bc754fcba9ca.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,False,True,use,True,True,include_primary_and_sensitivity
sub-37,gammatone-8,0.5-20,chapter-1,0.00963495949025806,0.012094477249918372,0.0547348985740989,-0.053117338192753,0.02751650284444475,39,0.65,40,31,60,False,"(60, 8, 56)",0.00012856044663505834,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-37/subject-37_raw-0.5-20_epoch-chapter-1_key-bceaa06a6cc05946.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",8.0,8.0,1.0,False,True,use,True,True,include_primary_and_sensitivity
sub-38,gammatone-8,0.5-20,chapter-1,0.06721243116470528,0.0825771238802541,0.10499900326265997,-0.03243644106792145,0.03270005554267307,56,0.9333333333333333,46,28,60,False,"(60, 8, 56)",0.0020777661289995363,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-38/subject-38_raw-0.5-20_epoch-chapter-1_key-7cd13e1e12692815.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",8.0,8.0,1.0,False,True,use,True,True,include_primary_and_sensitivity
sub-39,gammatone-8,0.5-20,chapter-1,0.005827727752120595,0.00502650168080715,0.06685673387664068,-0.053222621505503206,0.02646567878555662,34,0.5666666666666667,59,22,60,False,"(60, 8, 56)",-7.818572350235346e-05,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-39/subject-39_raw-0.5-20_epoch-chapter-1_key-9aebd636fd59ac3f.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",3.0,8.0,0.375,False,True,use,True,True,include_primary_and_sensitivity
sub-40,gammatone-8,0.5-20,chapter-1,0.020094053700009492,0.023852537095803514,0.053551059241041206,-0.041442081367327264,0.025025515082031807,44,0.7333333333333333,39,28,60,False,"(60, 8, 56)",0.00022361387465999656,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-40/subject-40_raw-0.5-20_epoch-chapter-1_key-1dc8ed698fa06fc6.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,False,True,use,True,True,include_primary_and_sensitivity
sub-41,gammatone-8,0.5-20,chapter-1,0.027494450344810052,0.033779395816157666,0.08626073775992132,-0.03007836934129407,0.024977514888915146,51,0.8360655737704918,31,61,61,True,"(61, 8, 56)",0.0007730875111932992,True,pass,rerun_required,False,expected_60_channels_found_61;result_contains_VEOG,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-41/subject-41_raw-0.5-20_epoch-chapter-1_key-2eed1fb42c080648.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,False,False,exclude_trf:expected_60_channels_found_61;result_contains_VEOG
sub-42,gammatone-8,0.5-20,chapter-1,0.05155446080720551,0.05971088273724076,0.11800743897467918,-0.051244267878947466,0.03911083524488591,55,0.9166666666666666,10,57,60,False,"(60, 8, 56)",0.0023242672934654872,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-42/subject-42_raw-0.5-20_epoch-chapter-1_key-b6e4cef8fed05d56.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,True,True,include_primary_and_sensitivity
sub-43,gammatone-8,0.5-20,chapter-1,0.00416962224490026,0.0,0.046566324045459066,-0.03722995091490539,0.01777840476644623,29,0.48333333333333334,59,25,60,False,"(60, 8, 56)",-0.00016596893495478547,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-43/subject-43_raw-0.5-20_epoch-chapter-1_key-04d0971ecd697175.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",2.0,8.0,0.25,False,True,exclude: low score,True,True,include_primary_and_sensitivity
sub-44,gammatone-8,0.5-20,chapter-1,0.059317772890903626,0.06744139838031685,0.12044772924427802,-0.04633938516537756,0.04138630941010554,56,0.9333333333333333,49,27,60,False,"(60, 8, 56)",0.0021467344972139163,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-44/subject-44_raw-0.5-20_epoch-chapter-1_key-88503586b37ec752.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,True,True,include_primary_and_sensitivity
sub-45,gammatone-8,0.5-20,chapter-1,0.08393734896778861,0.09143325206904049,0.1394300591358158,-0.01652049558454659,0.03917114297295772,59,0.9833333333333333,44,48,60,False,"(60, 8, 56)",0.004405674102006692,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-45/subject-45_raw-0.5-20_epoch-chapter-1_key-785b3e0b4ac2dd42.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",5.0,8.0,0.625,False,True,use,True,True,include_primary_and_sensitivity
sub-46,gammatone-8,0.5-20,chapter-1,-0.03762181878293918,-0.03809412280927302,-0.00972249562668184,-0.060440102655751,0.00990758959591804,0,0.0,30,26,60,False,"(60, 8, 56)",-0.0005697952484904974,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-46/subject-46_raw-0.5-20_epoch-chapter-1_key-89fe94de6993739d.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",3.0,8.0,0.375,True,False,exclude: low score & noise,True,False,include_primary;exclude_high_noise_sensitivity
sub-47,gammatone-8,0.5-20,chapter-1,-0.0034280831382972328,-0.0017699875401883292,0.03616778599759711,-0.056416613554585666,0.016252847743462397,24,0.4,51,56,60,False,"(60, 8, 56)",5.095241132718753e-05,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-47/subject-47_raw-0.5-20_epoch-chapter-1_key-a563c290c7e1b75b.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",4.0,8.0,0.5,True,False,exclude: low score & noise,True,False,include_primary;exclude_high_noise_sensitivity
sub-48,gammatone-8,0.5-20,chapter-1,0.017772857532891748,0.016830977466792754,0.05746270564251573,-0.02855924278059949,0.015415742826238215,55,0.9166666666666666,24,30,60,False,"(60, 8, 56)",0.0003002824918292013,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-48/subject-48_raw-0.5-20_epoch-chapter-1_key-36026b760888c430.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,True,True,include_primary_and_sensitivity
sub-49,gammatone-8,0.5-20,chapter-1,0.01865592683129862,0.013694850447337686,0.07909125512075169,-0.02385021616789086,0.02345822159179486,48,0.8,19,22,60,False,"(60, 8, 56)",0.0005494974522379477,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-49/subject-49_raw-0.5-20_epoch-chapter-1_key-32727009b10f72d1.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,True,False,exclude: noise,True,False,include_primary;exclude_high_noise_sensitivity
